Spiel_ID,Heimteam,Auswärtsteam
1,Mexiko,Südafrika
2,Südkorea,Tschechische Republik
3,Kanada,Bosnien und Herzegowina
4,USA,Paraguay
5,Katar,Schweiz
6,Brasilien,Marokko
7,Haiti,Schottland
8,Australien,Türkei
9,Deutschland,Curacao
10,Niederlande,Japan
11,Elfenbeinküste,Ecuador
12,Schweden,Tunesien
13,Spanien,Kap Verde
14,Belgien,Ägypten
15,Saudi Arabien,Uruguay
16,Iran,Neuseeland
17,Frankreich,Senegal
18,Irak,Norwegen
19,Argentinien,Algerien
20,Österreich,Jordanien
21,Portugal,DR Kongo
22,England,Kroatien
23,Ghana,Panama
24,Usbekistan,Kolumbien
25,Tschechische Republik,Südafrika
26,Schweiz,Bosnien und Herzegowina
27,Kanada,Katar
28,Mexiko,Südkorea
29,USA,Australien
30,Schottland,Marokko
31,Brasilien,Haiti
32,Türkei,Paraguay
33,Niederlande,Schweden
34,Deutschland,Elfenbeinküste
35,Ecuador,Curacao
36,Tunesien,Japan
37,Spanien,Saudi Arabien
38,Belgien,Iran
39,Uruguay,Kap Verde
40,Neuseeland,Ägypten
41,Argentinien,Österreich
42,Frankreich,Irak
43,Norwegen,Senegal
44,Jordanien,Algerien
45,Portugal,Usbekistan
46,England,Ghana
47,Panama,Kroatien
48,Kolumbien,DR Kongo
49,Schweiz,Kanada
50,Bosnien und Herzegowina,Katar
51,Schottland,Brasilien
52,Marokko,Haiti
53,Tschechische Republik,Mexiko
54,Südafrika,Südkorea
55,Curacao,Elfenbeinküste
56,Ecuador,Deutschland
57,Japan,Schweden
58,Tunesien,Niederlande
59,Türkei,USA
60,Paraguay,Australien
61,Norwegen,Frankreich
62,Senegal,Irak
63,Uruguay,Spanien
64,Kap Verde,Saudi Arabien
65,Ägypten,Iran
66,Neuseeland,Belgien
67,DR Kongo,Usbekistan
68,Kolumbien,Portugal
69,Jordanien,Argentinien
70,Algerien,Österreich
71,Panama,Kroatien
72,Ghana,England